"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C102160WA",178.770979518583,0.00221373284070957,0.0552069450728968,0.863089449987301,0.99970875222106
"CAALFM_C102170CA",80.7803201578475,-0.000858971351209776,0.0562145815581124,0.902344964464239,0.99970875222106
"CAALFM_C102180WA",793.183362107256,0.00414259951413844,0.0557705143903303,0.707788127699876,0.99970875222106
"CAALFM_C102190WA",548.35640572339,-2.73119457921748e-05,0.0565784523358527,0.98517841040359,0.99970875222106
"CAALFM_C102200CA",126.461823072008,-0.00104151034377344,0.0558898418063668,0.908877675047956,0.99970875222106
"CAALFM_C102210WA",853.194398336414,0.00341766372647165,0.0564470553271571,0.599458378853363,0.99970875222106
"CAALFM_C102220CA",458.348913595926,0.00390289769751342,0.0563513702863772,0.607766301464227,0.99970875222106
"CAALFM_C102230WA",2183.87378584879,0.00614361620203122,0.0548830605521637,0.677338574330531,0.99970875222106
"CAALFM_C102240WA",3413.05543925499,0.00125837196988488,0.0558538523701353,0.898264695867834,0.99970875222106
"CAALFM_C102250WA",1546.37426581834,-0.0270961178819164,0.0644411913076679,0.0374938113567025,0.99970875222106
"CAALFM_C102260CA",1888.28135657141,-0.00955878341438007,0.0541223709801498,0.609938163916076,0.99970875222106
"CAALFM_C102270CA",476.115285732773,-0.00369394751773816,0.0567600633185822,0.243415614007503,0.99970875222106
"CAALFM_C102280CA",458.629325154409,0.00604843253880234,0.0536834939741558,0.7665108353689,0.99970875222106
"CAALFM_C102290CA",874.739338980006,-0.00235885166524493,0.0562749298781517,0.738942107550948,0.99970875222106
"CAALFM_C102300WA",269.647121010002,-0.0059458456998793,0.0561153790577435,0.57094672646839,0.99970875222106
"CAALFM_C102310CA",283.815381546999,-0.00669139578517019,0.0561312140154754,0.535994894810098,0.99970875222106
"CAALFM_C102320CA",1442.17295164627,0.00753963544752669,0.0554903420134219,0.591510255137014,0.99970875222106
"CAALFM_C102330CA",19715.3377033408,-0.00197081867132276,0.0564884400943461,0.690420078175259,0.99970875222106
"CAALFM_C102340CA",46.5806565130935,-0.00641448246371534,0.0568230098055072,0.326034323230745,0.99970875222106
"CAALFM_C102350WA",855.912313982898,-0.000461291928982903,0.0562973982687759,0.93873675642383,0.99970875222106
"CAALFM_C102360CA",51.274462176211,0.00152723121483664,0.0561098543219092,0.851143107202615,0.99970875222106
"CAALFM_C102370CA",1401.1650632541,0.0021871469158207,0.056291351588775,0.759890412243335,0.99970875222106
"CAALFM_C102380CA",139.63728924262,-0.00600830362432286,0.0558202897300169,0.605877351500847,0.99970875222106
"CAALFM_C102390WA",551.475808292576,-0.00210571902038273,0.0552881105426692,0.863739041669937,0.99970875222106
"CAALFM_C102400CA",793.691586033886,-0.00269724125668442,0.0563129967251429,0.694468650889284,0.99970875222106
"CAALFM_C102410CA",902.408307074765,-0.0167911854038417,0.0573012414624328,0.32340226989089,0.99970875222106
"CAALFM_C102420CA",9537.89865612296,0.00471592972694345,0.0554286592180825,0.712561056952372,0.99970875222106
"CAALFM_C102430CA",4565.78125783437,-0.00161636369789725,0.0563455765117571,0.792312200416846,0.99970875222106
"CAALFM_C102440CA",442.425478731736,-0.00772858348652053,0.0563930579162752,0.465427213240738,0.99970875222106
"CAALFM_C102450CA",1041.8384316209,-0.000321549601121531,0.0565742289803513,0.911964747860033,0.99970875222106
"CAALFM_C102460WA",72214.4509013599,-0.00144906311812118,0.0564205868639859,0.785672962153028,0.99970875222106
"CAALFM_C102470WA",240.619384590988,-0.00210428663250459,0.0554321622944456,0.856555879711368,0.99970875222106
"CAALFM_C102480WA",5398.55145173504,-0.0102277562977876,0.0569168253973076,0.408605180644154,0.99970875222106
"CAALFM_C102490CA",655.704921155384,-0.00117105179685133,0.0564523077383635,0.81362569794389,0.99970875222106
"CAALFM_C102500WA",252.406123845742,-0.0059166022966848,0.056234560023395,0.544163698543847,0.99970875222106
"CAALFM_C102510WA",414.694743261632,-0.00617642869505768,0.055291882806188,0.655789920839801,0.99970875222106
